COD_INE;ID_REL;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25_ETRS89;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
02006000000;1020061;02;Albacete;Alcadozo;634;9958,7;53730;02006000101;Alcadozo;588;0842-2;-1,9802275;38,6489758;Mapa;925;MDT
02007000000;1020077;02;Albacete;Alcalá del Júcar;1148;14682,4446;51494;02007000101;Alcalá del Júcar;632;0744-3;-1,42932697;39,1932018;Mapa;547;MDT
02008000000;1020083;02;Albacete;Alcaraz;1307;37087,91;289190;02008000101;Alcaraz;1106;0841-1;-2,49034957;38,66425104;Mapa;953;MDT
02009000000;1020096;02;Albacete;Almansa;24224;53240,79;93195;02009000101;Almansa;23591;0793-3;-1,09414681;38,86968811;Mapa;687;MDT
02010000000;1020100;02;Albacete;Alpera;2245;17837,79;56572;02010000101;Alpera;2229;0792-2;-1,23080245;38,95969094;Mapa;852;MDT
02011000000;1020117;02;Albacete;Ayna;582;14658,96;65701;02011000101;Ayna;418;0842-3;-2,07053831;38,55217746;Mapa;696;MDT
02012000000;1020122;02;Albacete;Balazote;2388;6515,3733;31749;02012000101;Balazote;2365;0790-3;-2,15096732;38,88396156;Mapa;771;MDT
02013000000;1020138;02;Albacete;Balsa de Ves;126;7589,23;40451;02013000101;Balsa de Ves;81;0744-2;-1,19650012;39,26461253;Mapa;751;MDT
02014000000;1020143;02;Albacete;El Ballestero;427;13869,3693;49399;02014000101;El Ballestero;411;0789-3;-2,45508633;38,84252196;Mapa;1027;MDT
02015000000;1020156;02;Albacete;Barrax;1831;18977,03;52778;02015000101;Barrax;1808;0764-4;-2,20045637;39,0456106;Mapa;733;MDT
02016000000;1020169;02;Albacete;Bienservida;574;9072,54;57508;02016000101;Bienservida;563;0840-4;-2,61184243;38,51602097;Mapa;898;MDT
02017000000;1020175;02;Albacete;Bogarra;756;16601,4619;77106;02017000201;Bogarra;554;0841-4;-2,21253636;38,58025427;Mapa;844;MDT
02018000000;1020181;02;Albacete;Bonete;1006;12553,48;55884;02018000101;Bonete;1003;0792-4;-1,34830324;38,86950589;Mapa;886;MDT
02019000000;1020194;02;Albacete;El Bonillo;2698;50286,73;154516;02019000101;El Bonillo;2667;0788-2;-2,54023691;38,95012362;Mapa;1062;MDT
02020000000;1020208;02;Albacete;Carcelén;483;7536,3731;38287;02020000101;Carcelén;443;0767-2;-1,30876708;39,10231176;Mapa;911;MDT
02021000000;1020215;02;Albacete;Casas de Juan Núñez;1356;8898,2779;42030;02021000101;Casas de Juan Núñez;1340;0766-2;-1,55799035;39,10160749;Mapa;704;MDT
02022000000;1020220;02;Albacete;Casas de Lázaro;321;11231,6773;70760;02022000201;Casas de Lázaro;239;0815-2;-2,23922378;38,7705758;Mapa;942;MDT
02023000000;1020236;02;Albacete;Casas de Ves;561;12540,85;69475;02023000101;Casas de Ves;561;0744-2;-1,33454992;39,25946122;Mapa;707;MDT
02024000000;1020241;02;Albacete;Casas-Ibáñez;4547;10325,14;56102;02024000101;Casas-Ibáñez;4536;0744-1;-1,47129143;39,28701686;Mapa;708;MDT
02025000000;1020254;02;Albacete;Caudete;10135;14123,86;49596;02025000101;Caudete;9550;0819-4;-0,9886912;38,70573009;Mapa;554;MDT
02026000000;1020267;02;Albacete;Cenizate;1183;6326,0153;35204;02026000101;Cenizate;1183;0743-2;-1,66113349;39,30332101;Mapa;706;MDT
02027000000;1020273;02;Albacete;Corral-Rubio;300;9475,5686;42347;02027000101;Corral-Rubio;270;0792-3;-1,4608525;38,83500072;Mapa;870;MDT
02028000000;1020289;02;Albacete;Cotillas;129;1446,9288;15802;02028000201;Cotillas;88;0866-1;-2,50574545;38,43135915;Mapa;947;MDT
02029000000;1020292;02;Albacete;Chinchilla de Monte-Aragón;4497;67927,33;163946;02029000201;Chinchilla de Monte-Aragón;3193;0791-1;-1,72602643;38,9210968;Mapa;907;MDT
02030000000;1020306;02;Albacete;Elche de la Sierra;3553;23949,4125;84011;02030000101;Elche de la Sierra;3191;0867-1;-2,04781376;38,44790893;Mapa;630;MDT
02031000000;1020313;02;Albacete;Férez;614;12615,86;56954;02031000101;Férez;579;0867-4;-2,00953934;38,35567013;Mapa;682;MDT
02032000000;1020328;02;Albacete;Fuensanta;281;2411,25;26689;02032000101;Fuensanta;273;0742-3;-2,06725219;39,24466001;Mapa;693;MDT
02033000000;1020334;02;Albacete;Fuente-Álamo;2461;13337,12;45590;02033000101;Fuente-Álamo;2398;0818-3;-1,43170411;38,69314229;Mapa;820;MDT
02034000000;1020349;02;Albacete;Fuentealbilla;1821;10829,379;64740;02034000301;Fuentealbilla;1640;0743-2;-1,54879364;39,26773579;Mapa;670;MDT
02035000000;1020352;02;Albacete;La Gineta;2568;13713,52;49977;02035000101;La Gineta;2337;0765-2;-1,99784496;39,11387916;Mapa;691;MDT
02036000000;1020365;02;Albacete;Golosalvo;98;2817,6676;24505;02036000101;Golosalvo;98;0743-4;-1,63626863;39,23996013;Mapa;740;MDT
02037000000;1020371;02;Albacete;Hellín;30492;77929,12;152972;02037000501;Hellín;25224;0843-3;-1,70344921;38,51218953;Mapa;570;MDT
02038000000;1020387;02;Albacete;La Herrera;304;6342,58;42320;02038000201;La Herrera;254;0790-1;-2,12637236;38,9621774;Mapa;714;MDT
02039000000;1020390;02;Albacete;Higueruela;1125;20545,4904;86388;02039000301;Higueruela;1105;0792-1;-1,44535609;38,96455026;Mapa;1041;MDT
02040000000;1020404;02;Albacete;Hoya-Gonzalo;561;11457,4972;48066;02040000101;Hoya-Gonzalo;557;0791-2;-1,55687053;38,95787352;Mapa;929;MDT
02041000000;1020411;02;Albacete;Jorquera;350;6794,01;57197;02041000401;Jorquera;275;0744-3,0743-4;-1,52061391;39,17457441;Mapa;624;MDT
02042000000;1020426;02;Albacete;Letur;901;26440,16;81881;02042000302;Letur;277;0867-3;-2,10096881;38,36632081;Mapa;735;MDT
02043000000;1020432;02;Albacete;Lezuza;1300;36061,17;86173;02043000101;Lezuza;811;0789-1,0789-2;-2,35387427;38,94878996;Mapa;913;MDT
02044000000;1020447;02;Albacete;Liétor;1096;31318,96;78992;02044000501;Liétor;1026;0842-4;-1,95479319;38,54083745;Mapa;641;MDT
02045000000;1020450;02;Albacete;Madrigueras;4644;7334,55;35851;02045000101;Madrigueras;4619;0743-3;-1,7997012;39,23680339;Mapa;688;MDT
02046000000;1020463;02;Albacete;Mahora;1430;10814,91;48081;02046000101;Mahora;1396;0743-3;-1,72481837;39,21303088;Mapa;663;MDT
02047000000;1020479;02;Albacete;Masegoso;114;10387,0257;42914;02047000301;Masegoso;48;0815-4;-2,31511768;38,71877813;Mapa;1108;MDT
02048000000;1020485;02;Albacete;Minaya;1442;6998,11;47971;02048000101;Minaya;1429;0741-2;-2,31961973;39,27118701;Mapa;723;MDT
02049000000;1020498;02;Albacete;Molinicos;837;14358,8298;71840;02049001101;Molinicos;447;0866-2;-2,23898151;38,46778179;Mapa;851;MDT
02050000000;1020501;02;Albacete;Montalvos;88;2466,13;23443;02050000101;Montalvos;86;0765-1;-2,02769341;39,16721439;Mapa;709;MDT
02051000000;1020518;02;Albacete;Montealegre del Castillo;2056;17741,17;54756;02051000101;Montealegre del Castillo;2033;0818-2;-1,32487672;38,78717469;Mapa;810;MDT
02052000000;1020523;02;Albacete;Motilleja;660;2382,44;24700;02052000101;Motilleja;660;0743-3;-1,79025762;39,17948885;Mapa;676;MDT
02053000000;1020539;02;Albacete;Munera;3422;23053,83;58734;02053000101;Munera;3413;0764-3;-2,4830388;39,03954575;Mapa;929;MDT
02054000000;1020544;02;Albacete;Navas de Jorquera;528;4225,9722;26041;02054000101;Navas de Jorquera;528;0743-1;-1,7189485;39,28099513;Mapa;708;MDT
02055000000;1020557;02;Albacete;Nerpio;1180;43674,2;100376;02055000901;Nerpio;695;0909-2;-2,30224029;38,14824043;Mapa;1085;MDT
02056000000;1020560;02;Albacete;Ontur;1934;5440,9;30491;02056000101;Ontur;1934;0844-1;-1,49888166;38,61472661;Mapa;653;MDT
02057000000;1020576;02;Albacete;Ossa de Montiel;2215;24370,76;69230;02057000201;Ossa de Montiel;2118;0788-1;-2,74272664;38,96201035;Mapa;898;MDT
02058000000;1020582;02;Albacete;Paterna del Madera;329;11233,8382;53946;02058000601;Paterna del Madera;267;0841-2;-2,34555766;38,59729435;Mapa;1126;MDT
02059000000;1020595;02;Albacete;Peñascosa;323;18925,8047;106221;02059000501;Peñascosa;196;0815-3;-2,41040499;38,67153536;Mapa;1169;MDT
02060000000;1020609;02;Albacete;Peñas de San Pedro;1433;15876,06;73331;02060000701;Peñas de San Pedro;1054;0816-4;-2,00212787;38,72688881;Mapa;1010;MDT
02061000000;1020616;02;Albacete;Pétrola;663;7460,7346;40804;02061000201;Pétrola;542;0817-2;-1,55549981;38,82629814;Mapa;870;MDT
02062000000;1020621;02;Albacete;Povedilla;388;4942,7325;35557;02062000101;Povedilla;374;0814-4;-2,60393627;38,70163971;Mapa;872;MDT
02063000000;1020637;02;Albacete;Pozohondo;1569;13642,45;49375;02063000501;Pozohondo;1017;0816-4;-1,91133356;38,721122;Mapa;871;MDT
02064000000;1020642;02;Albacete;Pozo-Lorente;391;8098,71;36438;02064000101;Pozo-Lorente;389;0767-3;-1,50647855;39,07663024;Mapa;769;MDT
02065000000;1020655;02;Albacete;Pozuelo;461;13397,79;48394;02065000201;Pozuelo;426;0816-1;-2,10117384;38,80969625;Mapa;845;MDT
02066000000;1020668;02;Albacete;La Recueja;221;2973,9107;39019;02066000101;La Recueja;220;0744-3;-1,48988779;39,17688319;Mapa;542;MDT
02067000000;1020674;02;Albacete;Riópar;1318;8100,28;56049;02067000401;Riópar;1120;0841-3,0866-1;-2,41839311;38,4998099;Mapa;1126;MDT
02068000000;1020680;02;Albacete;Robledo;385;12008,4392;51626;02068000301;Robledo;242;0815-1;-2,44882682;38,75778452;Mapa;1041;MDT
02069000000;1020693;02;Albacete;La Roda;15497;39788,07;132120;02069000101;La Roda;15371;0742-3;-2,15924796;39,20706504;Mapa;708;MDT
02070000000;1020707;02;Albacete;Salobre;438;4952,8648;39261;02070000201;Salobre;305;0840-2;-2,55057256;38,59195258;Mapa;920;MDT
02071000000;1020714;02;Albacete;San Pedro;1142;8311,597;37014;02071000401;San Pedro;1053;0816-1;-2,186211;38,82654004;Mapa;844;MDT
02072000000;1020729;02;Albacete;Socovos;1743;13912,13;65485;02072000401;Socovos;1121;0889-2;-1,98469065;38,33202632;Mapa;734;MDT
02073000000;1020735;02;Albacete;Tarazona de la Mancha;6183;21267,16;67795;02073000101;Tarazona de la Mancha;6122;0742-2;-1,91280979;39,26539647;Mapa;713;MDT
02074000000;1020740;02;Albacete;Tobarra;7758;32521,78;79966;02074000601;Tobarra;6786;0843-1;-1,69282296;38,5922733;Mapa;652;MDT
02075000000;1020753;02;Albacete;Valdeganga;1919;7065,62;42767;02075000102;Valdeganga;1907;0766-2;-1,67646922;39,13545152;Mapa;667;MDT
02076000000;1020766;02;Albacete;Vianos;313;12805,18;91539;02076000102;Vianos;309;0841-1;-2,50149079;38,632307;Mapa;1118;MDT
02077000000;1020772;02;Albacete;Villa de Ves;60;5775,64;37832;02077000101;Villa de Ves;44;0744-4;-1,25897631;39,22231541;Mapa;744;MDT
02078000000;1020788;02;Albacete;Villalgordo del Júcar;1072;4668,4938;32688;02078000101;Villalgordo del Júcar;1054;0742-1;-2,06309183;39,29598679;Mapa;683;MDT
02079000000;1020791;02;Albacete;Villamalea;4000;12832,89;63758;02079000103;Villamalea;3991;0718-4;-1,59908353;39,36160785;Mapa;739;MDT
02080000000;1020805;02;Albacete;Villapalacios;555;8747,7445;41446;02080000101;Villapalacios;554;0840-4;-2,63505947;38,57467359;Mapa;837;MDT
02081000000;1020812;02;Albacete;Villarrobledo;24886;86239,48;141054;02081000301;Villarrobledo;24452;0740-2;-2,60714311;39,26755792;Mapa;728;MDT
02082000000;1020827;02;Albacete;Villatoya;106;1867,36;21565;02082000201;Villatoya;78;0744-2;-1,33858599;39,33385264;Mapa;409;MDT
02083000000;1020833;02;Albacete;Villavaliente;202;3484,1712;30502;02083000101;Villavaliente;202;0767-1;-1,45799642;39,12645758;Mapa;726;MDT
02084000000;1020848;02;Albacete;Villaverde de Guadalimar;321;6928,96;39791;02084000501;Villaverde de Guadalimar;205;0866-1;-2,518480636;38,456169;Investigación;799;Investigación
02085000000;1020851;02;Albacete;Viveros;335;6536,6666;45479;02085000101;Viveros;335;0814-2;-2,57590915;38,77363475;Mapa;1012;MDT
02086000000;1020864;02;Albacete;Yeste;2495;51221,68;121379;02086001401;Yeste;1376;0866-4;-2,31903072;38,36643865;Mapa;878;MDT
02901000000;1029010;02;Albacete;Pozo Cañada;2763;11683,38;69208;02901000101;Pozo Cañada;2739;0817-1;-1,73622317;38,801361;Mapa;830;MDT
03001000000;1030015;03;Alacant/Alicante;l'Atzúbia;616;1466,9574;18376;03001000101;l'Atzúbia;363;0796-3;-0,15173035;38,84743029;Mapa;99;MDT
03002000000;1030020;03;Alacant/Alicante;Agost;4948;6663,5352;40007;03002000101;Agost;4022;0871-2;-0,63891979;38,43949316;Mapa;331;MDT
03003000000;1030036;03;Alacant/Alicante;Agres;589;2583,659;20529;03003000101;Agres;443;0821-1;-0,51595543;38,78000404;Mapa;719;MDT
03004000000;1030041;03;Alacant/Alicante;Aigües;1085;1847,2816;20622;03004000101;Aigües;663;0872-1;-0,36258669;38,49887092;Mapa;332;MDT
03005000000;1030054;03;Alacant/Alicante;Albatera;12864;6154,27;34605;03005000101;Albatera;11935;0892-4;-0,86792141;38,17894636;Mapa;15;MDT
03006000000;1030067;03;Alacant/Alicante;Alcalalí;1349;1439,7787;21582;03006000101;Alcalalí;366;0822-1,0822-3;-0,04160798;38,74965349;Mapa;226;MDT
03007000000;1030073;03;Alacant/Alicante;Alcosser;254;438,7155;9164;03007000101;Alcosser;140;0821-1;-0,40197036;38,79447224;Mapa;345;MDT
03008000000;1030089;03;Alacant/Alicante;Alcoleja;196;1455,8836;19193;03008000101;Alcoleja;172;0821-4;-0,33100925;38,67548564;Mapa;735;MDT
